"secs","kph","rpm","watts","hr","torq","km","g"
320.04,35.2,92,164,102,5.8,2.377,3.04
322.56,34.6,49,158,102,5.6,2.401,5.6
325.08,33.8,79,121,102,4.4,2.424,3.4
327.6,33.4,67,89,102,3.3,2.448,3.96
330.12,33.2,69,155,0,5.8,2.472,3.82
332.64,33.2,67,164,0,6.1,2.495,3.93
335.16,33.2,84,173,0,6.4,2.517,3.14
337.68,32.9,85,117,0,4.4,2.541,3.07
340.2,31.6,64,101,0,4,2.562,3.92
342.72,31.4,74,121,0,4.7,2.586,3.37
345.24,30.9,74,141,126,5.6,2.608,3.31
347.76,29.7,72,163,126,6.8,2.627,3.27
350.28,26,71,262,126,12.4,2.646,2.91
352.8,23.7,68,348,127,18.1,2.664,2.77
355.32,22,63,274,128,15.4,2.679,2.77
357.84,20.6,58,236,129,14.1,2.694,2.82
360.36,20.1,56,235,130,14.5,2.709,2.85
362.88,20.4,56,300,131,18.2,2.722,2.89
365.4,21.5,65,203,132,11.6,2.737,2.63
367.92,22.1,65,107,133,6,2.752,2.7
370.44,22.2,59,260,133,14.5,2.767,2.99
372.96,24,61,83,142,4.3,2.784,3.12
375.48,22.3,48,243,141,13.4,2.799,3.69
378,24.8,112,125,141,6.2,2.817,1.76
380.52,25,110,130,141,6.4,2.834,1.8
383.04,24.4,85,132,141,6.7,2.851,2.28
385.56,24.7,87,145,141,7.2,2.868,2.25
388.08,24.9,86,155,141,7.7,2.886,2.3
390.6,25.6,87,180,141,8.7,2.905,2.34
393.12,26.2,90,175,142,8.2,2.922,2.31
395.64,27,98,158,142,7.2,2.942,2.19
398.16,27.3,84,170,141,7.7,2.961,2.58
400.68,27.8,84,152,141,6.8,2.98,2.63
403.2,27.9,85,146,137,6.4,3,2.61
405.72,27.2,56,191,138,8.7,3.019,3.85
408.24,26.5,85,192,138,8.9,3.036,2.47
410.76,25.8,82,189,138,9,3.056,2.5
413.28,25.5,78,203,137,9.8,3.073,2.59
415.8,26.3,78,190,137,8.9,3.092,2.68
418.32,26.7,77,127,134,5.9,3.11,2.75
420.84,26.9,82,148,133,6.8,3.129,2.6
423.36,27,75,148,134,6.8,3.148,2.86
425.88,27.2,82,132,130,6,3.168,2.63
428.4,27.4,88,125,130,5.6,3.185,2.47
430.92,27,77,190,129,8.7,3.204,2.78
433.44,27.4,82,146,129,6.6,3.224,2.65
435.96,27.2,83,137,129,6.2,3.243,2.6
438.48,27,82,148,129,6.8,3.263,2.61
441,27.7,84,152,126,6.8,3.282,2.62
443.52,28.8,87,132,126,5.6,3.301,2.63
446.04,29.4,104,110,125,4.6,3.321,2.24
448.56,30.5,71,78,125,3.2,3.342,3.41
451.08,31.8,60,17,122,0.7,3.366,4.21
453.6,32.2,103,77,119,2.9,3.388,2.48
456.12,32.6,109,81,118,3.1,3.411,2.37
458.64,32.2,89,171,113,6.6,3.433,2.87
461.16,31.2,90,183,113,7.2,3.454,2.75
463.68,31.2,90,171,113,6.8,3.476,2.75
466.2,30.5,89,207,113,8.4,3.498,2.72
468.72,29.9,82,167,114,6.9,3.519,2.89
471.24,29.1,68,194,120,8.2,3.541,3.4
473.76,29,80,202,121,8.6,3.56,2.88
476.28,28.7,81,150,122,6.4,3.579,2.81
478.8,28.6,84,167,123,7.2,3.601,2.7
481.32,29,91,194,123,8.2,3.62,2.53
483.84,29,87,130,124,5.5,3.642,2.65
